ADVANC|2020-09-23|177.00|178.50|176.00|176.00|4226595
AP|2020-09-23|5.60|5.75|5.55|5.65|13747885
BCH|2020-09-23|14.60|14.70|14.50|14.60|2962555
BFIT|2020-09-23|28.25|28.75|28.00|28.75|1128735
CBG|2020-09-23|117.00|120.00|115.00|118.00|8202300
CPF|2020-09-23|29.25|29.50|28.75|29.25|33026950
DRT|2020-09-23|6.35|6.45|6.35|6.35|384401
EGCO|2020-09-23|195.00|198.50|194.00|194.50|929466
FSMART|2020-09-23|8.00|8.45|8.00|8.30|17432272
GPSC|2020-09-23|63.00|63.25|62.25|62.75|4745664
GUNKUL|2020-09-23|2.30|2.34|2.26|2.28|23904561
HREIT|2020-09-23|7.90|7.95|7.80|7.80|662200
JASIF|2020-09-23|9.55|9.60|9.55|9.60|7511057
ORI|2020-09-23|6.55|6.60|6.35|6.50|3726726
OSP|2020-09-23|36.50|37.00|36.00|36.25|10574105
PRM|2020-09-23|8.75|9.20|8.70|9.05|32103976
PTG|2020-09-23|17.70|18.30|17.50|18.30|12066417
SAWAD|2020-09-23|49.50|51.50|49.25|50.50|25350041
SCC|2020-09-23|332.00|333.00|329.00|331.00|2105335
SCCC|2020-09-23|124.50|124.50|122.50|123.00|230625
SENA|2020-09-23|2.68|2.72|2.64|2.68|1765884
SMPC|2020-09-23|12.60|12.90|12.40|12.50|2311519
STA|2020-09-23|27.25|28.00|27.00|27.75|23124805
TCAP|2020-09-23|30.50|30.75|30.00|30.25|4910392
TPIPP|2020-09-23|4.20|4.26|4.18|4.18|6186582
TTLPF|2020-09-23|22.40|22.40|22.40|22.40|200
