Name|Full Name|Sector|Sub Sector|Market|Website
BLA|BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED|Financials|Insurance|SET100 / SETTHSI|www.bangkoklife.com
BLAND|BANGKOK LAND PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.bangkokland.co.th
BPP|BANPU POWER PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETCLMV / SETHD / SETTHSI|www.banpupower.com
BRR|BURIRAM SUGAR PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.buriramsugar.com
BSBM|BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.bsbm.co.th
BTS|BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET50 / SETTHSI / SETWB|www.btsgroup.co.th
BTSGIF|BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND|Services|Transportation & Logistics|SET|www.btsgif.com
CBG|CARABAO GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETWB|www.carabaogroup.com
CCET|CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.|Technology|Electronic Components|sSET|www.calcomp.co.th
CENTEL|CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED|Services|Tourism & Leisure|SET100 / SETTHSI / SETWB|www.centarahotelsresorts.com
CGH|COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.cgholdings.co.th
CHAYO|CHAYO GROUP PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.chayo555.com
CHG|CHULARAT HOSPITAL PUBLIC COMPANY LIMITED|Services|Health Care Services|SET100 / SETWB|www.chularat.com
CIMBT|CIMB THAI BANK PUBLIC COMPANY LIMITED|Financials|Banking|SET|www.cimbthai.com
CK|CH. KARNCHANG PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET100 / SETCLMV / SETTHSI|www.ch-karnchang.co.th
CKP|CK POWER PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETCLMV / SETTHSI|www.ckpower.co.th
COM7|COM7 PUBLIC COMPANY LIMITED|Services|Commerce|SET50 / SETTHSI / SETWB|www.comseven.com
COTTO|SCG CERAMICS PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET|www.scgceramics.com
CPALL|CP ALL PUBLIC COMPANY LIMITED|Services|Commerce|SET50 / SETTHSI / SETWB|www.cpall.co.th
CPF|CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETHD / SETTHSI / SETWB|www.cpfworldwide.com
CPI|CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.cpi-th.com
CPN|CENTRAL PATTANA PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET50 / SETTHSI|www.centralpattana.co.th
CPNCG|CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|www.cpncg.com
CPNREIT|CPN RETAIL GROWTH LEASEHOLD REIT|Property & Construction|Property Fund & REITs|SET|www.cpnreit.com
CPTGF|C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|www.ktam.co.th
CRC|CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED|Services|Commerce|SET50 / SETCLMV / SETTHSI / SETWB|https://www.centralretail.com/
CSP|CSP STEEL CENTER PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.cspsteel.com
CSS|COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.cssthai.com
CWT|CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.cwt.co.th
DCC|DYNASTY CERAMIC PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET|www.dynastyceramic.com
DCON|DCON PRODUCTS PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET|www.dconproduct.com
DDD|DO DAY DREAM PUBLIC COMPANY LIMITED|Consumer Products|Personal Products & Pharmaceuticals|sSET|www.dodaydream.com
DELTA|DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED|Technology|Electronic Components|SET|www.deltathailand.com
DEMCO|DEMCO PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET|www.demco.co.th
DIF|DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND|Technology|Information & Communication Technology|SET|www.digital-tif.com
DOHOME|DOHOME PUBLIC COMPANY LIMITED|Services|Commerce|SET100 / SETWB|https://www.dohome.co.th/
DRT|DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|sSET / SETCLMV / SETTHSI|www.dbp.co.th
DTAC|TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET50|www.dtac.co.th
DUSIT|DUSIT THANI PUBLIC COMPANY LIMITED|Services|Tourism & Leisure|SET|www.dusit.com
EA|ENERGY ABSOLUTE PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETTHSI|www.energyabsolute.co.th
EASTW|EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.|Resources|Energy & Utilities|SETTHSI|www.eastwater.com
ECL|EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.ecl.co.th
