Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
DCC,SET    ,2.82,3.18,2.58,15.35,4.40,912.56,25734.22,27.75,0.58
DCON,SET    ,0.42,0.64,0.36,16.76,0.90,538.63,2262.26,0.98,1.26
DELTA,SET50 / SETTHSI    ,830.00,990.00,287.00,78.14,20.11,1247.38,1035326.74,5389.32,3.28
DIF,SET    ,13.50,14.50,13.00,999.99,0.81,106316.54,143527.33,85.49,0.28
DOHOME,SET100 / SETWB    ,14.60,23.30,12.20,36.63,3.64,2906.74,42438.41,215.97,1.37
DRT,sSET / SETCLMV / SETTHSI    ,8.15,8.90,6.90,11.60,3.11,855.03,6968.52,2.09,0.62
DTAC,SET50 / SETTHSI    ,47.25,51.50,39.75,46.82,6.25,4735.62,111879.07,587.86,0.93
EA,SET50 / SETTHSI    ,89.50,101.00,76.50,45.65,9.13,373.00,333835.00,1025.68,1.26
EASTW,sSET / SETTHSI    ,5.40,9.50,4.90,11.05,0.80,1663.73,8984.12,11.03,0.72
ECL,SET    ,2.08,3.82,1.80,10.81,1.26,1108.86,2306.43,27.92,1.60
EGATIF,SET    ,6.80,12.10,6.45,999.99,0.74,18686.08,14181.40,4.76,0.34
EGCO,SET50 / SETCLMV / SETHD / SETTHSI    ,174.50,190.00,159.50,23.67,0.71,5264.65,91868.14,222.05,0.52
EPG,SET100 / SETTHSI    ,9.30,12.30,8.60,19.28,2.18,2800.00,26040.00,33.56,1.23
ESSO,SET100    ,9.40,15.00,7.20,2.75,1.13,17075.18,32532.07,1104.41,1.09
FORTH,SET100    ,34.25,64.00,18.70,39.82,16.60,480.00,32880.00,127.99,1.35
FPT,SET    ,15.20,15.60,12.30,14.30,0.98,2319.28,35253.02,2.43,0.31
FSMART,mai    ,14.10,28.00,10.00,32.35,9.89,390.00,10998.00,76.79,1.36
GC,SET    ,5.60,7.45,5.00,14.19,4.52,220.00,2464.00,0.40,1.07
